"","area_code","year","item_code","source_code","value","element","item","area","source"
"1",225,2020,15,2,21,"Import Quantity","Wheat","United Arab Emirates","Afghanistan"
"2",33,2020,15,4,5,"Import Quantity","Wheat","Canada","Algeria"
"3",211,2020,15,4,0,"Import Quantity","Wheat","Switzerland","Algeria"
"4",16,2020,15,9,601125,"Import Quantity","Wheat","Bangladesh","Argentina"
"5",19,2020,15,9,92715,"Import Quantity","Wheat","Bolivia (Plurinational State of)","Argentina"
"6",21,2020,15,9,4424632,"Import Quantity","Wheat","Brazil","Argentina"
"7",40,2020,15,9,328002,"Import Quantity","Wheat","Chile","Argentina"
"8",58,2020,15,9,51402,"Import Quantity","Wheat","Ecuador","Argentina"
"9",238,2020,15,9,277950,"Import Quantity","Wheat","Ethiopia","Argentina"
"10",81,2020,15,9,18000,"Import Quantity","Wheat","Ghana","Argentina"
"11",101,2020,15,9,2336200,"Import Quantity","Wheat","Indonesia","Argentina"
"12",114,2020,15,9,574245,"Import Quantity","Wheat","Kenya","Argentina"
"13",159,2020,15,9,202565,"Import Quantity","Wheat","Nigeria","Argentina"
"14",170,2020,15,9,236162,"Import Quantity","Wheat","Peru","Argentina"
"15",171,2020,15,9,106901,"Import Quantity","Wheat","Philippines","Argentina"
"16",216,2020,15,9,537687,"Import Quantity","Wheat","Thailand","Argentina"
"17",226,2020,15,9,156678,"Import Quantity","Wheat","Uganda","Argentina"
"18",231,2020,15,9,11878,"Import Quantity","Wheat","United States of America","Argentina"
"19",234,2020,15,9,25386,"Import Quantity","Wheat","Uruguay","Argentina"
"20",237,2020,15,9,215403,"Import Quantity","Wheat","Viet Nam","Argentina"
"21",255,2020,15,1,4,"Import Quantity","Wheat","Belgium","Armenia"
"22",68,2020,15,1,10,"Import Quantity","Wheat","France","Armenia"
"23",119,2020,15,1,1,"Import Quantity","Wheat","Latvia","Armenia"
"24",121,2020,15,1,0,"Import Quantity","Wheat","Lebanon","Armenia"
"25",185,2020,15,1,27,"Import Quantity","Wheat","Russian Federation","Armenia"
"26",231,2020,15,1,23,"Import Quantity","Wheat","United States of America","Armenia"
"27",9,2020,15,10,2,"Import Quantity","Wheat","Argentina","Australia"
"28",13,2020,15,10,80771,"Import Quantity","Wheat","Bahrain","Australia"
"29",16,2020,15,10,31511,"Import Quantity","Wheat","Bangladesh","Australia"
"30",255,2020,15,10,41,"Import Quantity","Wheat","Belgium","Australia"
"31",96,2020,15,10,300,"Import Quantity","Wheat","China, Hong Kong SAR","Australia"
"32",41,2020,15,10,2089966,"Import Quantity","Wheat","China, mainland","Australia"
"33",214,2020,15,10,55563,"Import Quantity","Wheat","China, Taiwan Province of","Australia"
"34",59,2020,15,10,292105,"Import Quantity","Wheat","Egypt","Australia"
"35",66,2020,15,10,166156,"Import Quantity","Wheat","Fiji","Australia"
"36",70,2020,15,10,1382,"Import Quantity","Wheat","French Polynesia","Australia"
"37",100,2020,15,10,51,"Import Quantity","Wheat","India","Australia"
"38",101,2020,15,10,953568,"Import Quantity","Wheat","Indonesia","Australia"
"39",110,2020,15,10,806092,"Import Quantity","Wheat","Japan","Australia"
"40",114,2020,15,10,46550,"Import Quantity","Wheat","Kenya","Australia"
"41",118,2020,15,10,427366,"Import Quantity","Wheat","Kuwait","Australia"
"42",121,2020,15,10,2965,"Import Quantity","Wheat","Lebanon","Australia"
"43",131,2020,15,10,455360,"Import Quantity","Wheat","Malaysia","Australia"
"44",137,2020,15,10,81,"Import Quantity","Wheat","Mauritius","Australia"
"45",28,2020,15,10,243398,"Import Quantity","Wheat","Myanmar","Australia"
"46",153,2020,15,10,22100,"Import Quantity","Wheat","New Caledonia","Australia"
"47",156,2020,15,10,370573,"Import Quantity","Wheat","New Zealand","Australia"
"48",221,2020,15,10,78370,"Import Quantity","Wheat","Oman","Australia"
"49",165,2020,15,10,130,"Import Quantity","Wheat","Pakistan","Australia"
"50",168,2020,15,10,257795,"Import Quantity","Wheat","Papua New Guinea","Australia"
"51",171,2020,15,10,734485,"Import Quantity","Wheat","Philippines","Australia"
"52",179,2020,15,10,42000,"Import Quantity","Wheat","Qatar","Australia"
"53",117,2020,15,10,1061988,"Import Quantity","Wheat","Republic of Korea","Australia"
"54",194,2020,15,10,71387,"Import Quantity","Wheat","Saudi Arabia","Australia"
"55",200,2020,15,10,111086,"Import Quantity","Wheat","Singapore","Australia"
"56",25,2020,15,10,13049,"Import Quantity","Wheat","Solomon Islands","Australia"
"57",38,2020,15,10,48242,"Import Quantity","Wheat","Sri Lanka","Australia"
"58",216,2020,15,10,348093,"Import Quantity","Wheat","Thailand","Australia"
"59",223,2020,15,10,125,"Import Quantity","Wheat","Turkey","Australia"
"60",225,2020,15,10,152006,"Import Quantity","Wheat","United Arab Emirates","Australia"
"61",229,2020,15,10,9345,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Australia"
"62",215,2020,15,10,903,"Import Quantity","Wheat","United Republic of Tanzania","Australia"
"63",237,2020,15,10,950835,"Import Quantity","Wheat","Viet Nam","Australia"
"64",249,2020,15,10,474678,"Import Quantity","Wheat","Yemen","Australia"
"65",52,2020,15,11,10,"Import Quantity","Wheat","Azerbaijan","Austria"
"66",57,2020,15,11,101,"Import Quantity","Wheat","Belarus","Austria"
"67",255,2020,15,11,3291,"Import Quantity","Wheat","Belgium","Austria"
"68",80,2020,15,11,1,"Import Quantity","Wheat","Bosnia and Herzegovina","Austria"
"69",27,2020,15,11,1911,"Import Quantity","Wheat","Bulgaria","Austria"
"70",33,2020,15,11,1,"Import Quantity","Wheat","Canada","Austria"
"71",40,2020,15,11,3,"Import Quantity","Wheat","Chile","Austria"
"72",46,2020,15,11,24,"Import Quantity","Wheat","Congo","Austria"
"73",98,2020,15,11,120,"Import Quantity","Wheat","Croatia","Austria"
"74",50,2020,15,11,4413,"Import Quantity","Wheat","Cyprus","Austria"
"75",167,2020,15,11,1783,"Import Quantity","Wheat","Czechia","Austria"
"76",54,2020,15,11,28,"Import Quantity","Wheat","Denmark","Austria"
"77",63,2020,15,11,11,"Import Quantity","Wheat","Estonia","Austria"
"78",68,2020,15,11,10241,"Import Quantity","Wheat","France","Austria"
"79",73,2020,15,11,39,"Import Quantity","Wheat","Georgia","Austria"
"80",79,2020,15,11,92411,"Import Quantity","Wheat","Germany","Austria"
"81",84,2020,15,11,5003,"Import Quantity","Wheat","Greece","Austria"
"82",97,2020,15,11,4087,"Import Quantity","Wheat","Hungary","Austria"
"83",104,2020,15,11,23,"Import Quantity","Wheat","Ireland","Austria"
"84",106,2020,15,11,436607,"Import Quantity","Wheat","Italy","Austria"
"85",108,2020,15,11,170,"Import Quantity","Wheat","Kazakhstan","Austria"
"86",119,2020,15,11,0,"Import Quantity","Wheat","Latvia","Austria"
"87",126,2020,15,11,9,"Import Quantity","Wheat","Lithuania","Austria"
"88",256,2020,15,11,502,"Import Quantity","Wheat","Luxembourg","Austria"
"89",150,2020,15,11,1569,"Import Quantity","Wheat","Netherlands","Austria"
"90",154,2020,15,11,2486,"Import Quantity","Wheat","North Macedonia","Austria"
"91",173,2020,15,11,2737,"Import Quantity","Wheat","Poland","Austria"
"92",174,2020,15,11,1,"Import Quantity","Wheat","Portugal","Austria"
"93",183,2020,15,11,3325,"Import Quantity","Wheat","Romania","Austria"
"94",185,2020,15,11,367,"Import Quantity","Wheat","Russian Federation","Austria"
"95",272,2020,15,11,1203,"Import Quantity","Wheat","Serbia","Austria"
"96",199,2020,15,11,1131,"Import Quantity","Wheat","Slovakia","Austria"
"97",198,2020,15,11,8031,"Import Quantity","Wheat","Slovenia","Austria"
"98",203,2020,15,11,1,"Import Quantity","Wheat","Spain","Austria"
"99",210,2020,15,11,138,"Import Quantity","Wheat","Sweden","Austria"
"100",211,2020,15,11,36881,"Import Quantity","Wheat","Switzerland","Austria"
"101",223,2020,15,11,11,"Import Quantity","Wheat","Turkey","Austria"
"102",230,2020,15,11,74,"Import Quantity","Wheat","Ukraine","Austria"
"103",229,2020,15,11,433,"Import Quantity","Wheat","United Kingdom of Great Britain and Northern Ireland","Austria"
"104",225,2020,15,13,0,"Import Quantity","Wheat","United Arab Emirates","Bahrain"
"105",200,2020,15,16,1,"Import Quantity","Wheat","Singapore","Bangladesh"
"106",126,2020,15,57,6438,"Import Quantity","Wheat","Lithuania","Belarus"
"107",185,2020,15,57,5228,"Import Quantity","Wheat","Russian Federation","Belarus"
"108",230,2020,15,57,10018,"Import Quantity","Wheat","Ukraine","Belarus"
"109",11,2020,15,255,1060,"Import Quantity","Wheat","Austria","Belgium"
"110",13,2020,15,255,5,"Import Quantity","Wheat","Bahrain","Belgium"
"111",29,2020,15,255,0,"Import Quantity","Wheat","Burundi","Belgium"
"112",50,2020,15,255,0,"Import Quantity","Wheat","Cyprus","Belgium"
"113",167,2020,15,255,755,"Import Quantity","Wheat","Czechia","Belgium"
"114",250,2020,15,255,0,"Import Quantity","Wheat","Democratic Republic of the Congo","Belgium"
"115",54,2020,15,255,21,"Import Quantity","Wheat","Denmark","Belgium"
"116",67,2020,15,255,80,"Import Quantity","Wheat","Finland","Belgium"
"117",68,2020,15,255,56035,"Import Quantity","Wheat","France","Belgium"
